id,query,ground_truth,permissions,inferred_in_list
0,Run shell script.,"[['read', 'execute']]","shell script: read, write, execute","[['read', 'write', 'execute']]"
0,There is a shell script file.sh.,"[['read', 'execute']]","file.sh: read, write, execute","[['read', 'write', 'execute']]"
0,You can run shell script file.sh.,"[['read', 'execute']]","file.sh: read, execute","[['read', 'execute']]"
0,Go to shell script file.sh.,"[['read', 'execute']]","file.sh: read, execute","[['read', 'execute']]"
0,Shell script file.sh can be run.,"[['read', 'execute']]","file.sh: read, execute","[['read', 'execute']]"
1,Please use bz2 to compress the file.,[['read']],"file: write, execute","[['write', 'execute']]"
1,Please use the bz2 compressed file to compress the file.,[['read']],"file: read, write, execute","[['read', 'write', 'execute']]"
1,Please use bz2 compressed file to compress the file.,[['read']],"file: write, execute","[['write', 'execute']]"
1,Please make a compressed file.,[['read']],"filename: write, execute","[['write', 'execute']]"
1,Please use the bz2 compressed file.,[['read']],"bz2 compressed file: read, write, execute","[['read', 'write', 'execute']]"
2,The bz2 file is uncompress.,[['read']],"file.bz2: read, write, execute","[['read', 'write', 'execute']]"
2,Uncompress bz2 file.,[['read']],"file: read, write, execute","[['read', 'write', 'execute']]"
2,The bz2 file is uncompressed.,[['read']],"filename: bz2: read, write, execute",[['bz2']]
2,The bz2 file is Uncompress.,[['read']],"file: read, write, execute","[['read', 'write', 'execute']]"
2,The bz2 file has been uncompress.,[['read']],"filename: bz2: read, write, execute",[['bz2']]
3,Write the input from the terminal down.,[['write']],file1: write; file2: none,"[['write'], ['none']]"
3,Write down the input from the terminal.,[['write']],filename: write,[['write']]
3,Write the input from the terminal to file.,[['write']],file: write,[['write']]
3,Write the input from the terminal down to file.,[['write']],file: write,[['write']]
3,Write input from the terminal into a file.,[['write']],file: write,[['write']]
4,I need to know the contents of file1 and file2 together.,"[['read'], ['read']]",file1: read; file2: read,"[['read'], ['read']]"
4,I would like to see the contents of file1 and file2 together.,"[['read'], ['read']]",file1: read; file2: read,"[['read'], ['read']]"
4,I would like to see the content of file1 and file2 together.,"[['read'], ['read']]",file1: read; file2: read,"[['read'], ['read']]"
4,I need to know the content of file1 and file2 together.,"[['read'], ['read']]",file1: read; file2: read,"[['read'], ['read']]"
4,I need to see the content of file1 and file2 together.,"[['read'], ['read']]",file1: read; file2: read,"[['read'], ['read']]"
5,All contents should be added to the end of file1.,"[['read'], ['write']]","file1: read, write","[['read', 'write']]"
5,All contents should be added to the end of file 1.,"[['read'], ['write']]","file1: read, write; file2: none","[['read', 'write'], ['none']]"
5,All contents should be put at the end of file 2.,"[['read'], ['write']]","file2: read, write","[['read', 'write']]"
5,All contents should be put at the end of file2.,"[['read'], ['write']]","file2: read, write","[['read', 'write']]"
5,All contents should be added to the end of file 2.,"[['read'], ['write']]","file2: read, write","[['read', 'write']]"
6,Show me the file on the screen.,[['read']],"file: read, execute","[['read', 'execute']]"
6,Show me the file's contents on the screen.,[['read']],file1: read; file2: read,"[['read'], ['read']]"
6,I want to know the content of the file on the screen.,[['read']],file: read,[['read']]
6,I would like to see the content of the file on the screen.,[['read']],file: read,[['read']]
6,Show me the contents of the file.,[['read']],file: read,[['read']]
